stock_code,total_foreign,total_shares,foreign_pct
GOTO,682583607784.0,1191144997220.0,57.304829334554086
EAST,1818533280.0,4126405336.0,44.07064095556898
BHIT,35561747754.0,86068156705.0,41.31812404893074
TLKM,38637103430.0,99062216600.0,39.00286583129011
MREI,200051049.0,517791681.0,38.63543126333078
INDF,3237930909.0,8780426500.0,36.87669282352059
JPFA,4050160774.0,11726575201.0,34.53830896555899
MORA,7977555842.0,23646668691.0,33.736489254557384
ASII,13530789809.0,40483553140.0,33.422930448342555
AMRT,13698846866.0,41524501700.0,32.98979230375689
MAPI,5474941029.0,16600000000.0,32.98157246385542
KPIG,32289808716.0,99857559263.0,32.33586816492948
BBCA,39346700548.0,123275050000.0,31.917813497540664
LMSH,30597400.0,96000000.0,31.87229166666667
BISI,913236622.0,3000000000.0,30.441220733333335
NATO,2423327512.0,8001111504.0,30.287385831187386
BMRI,27583251265.0,93333333332.0,29.553483498636478
INTP,1035783733.0,3515602799.0,29.46247890389167
BBRI,44073623790.0,151559001604.0,29.080175590729674
CPIN,4754739410.0,16398000000.0,28.99584955482376
TBLA,1733675713.0,6025373372.0,28.772917559871342
BUDI,1268498711.0,4498997362.0,28.19514236025462
BFIN,4213303962.0,15039383620.0,28.01513724536538
SMGR,1865697414.0,6751540089.0,27.633656756918356
CPRO,16246463661.0,59572382787.0,27.2718043175962
SMSM,1569273943.0,5758675440.0,27.250605792084713
MLIA,1785652045.0,6615000000.0,26.99398405139834
UNTR,934198379.0,3730135136.0,25.044625595033672
MNCN,3748321809.0,15049787710.0,24.906144068127855
MDKA,6061977778.0,24472983771.0,24.770080488441803
BRMS,34810861855.0,141784040338.0,24.552031224398835
BYAN,8179145903.0,33333335000.0,24.537436482128175
PTSP,53984080.0,220808000.0,24.448425781674576
BUMI,90232442491.0,371335392068.0,24.29944584287737
BRPT,22684561910.0,93747218044.0,24.19758408121835
MICE,141770594.0,600000000.0,23.628432333333333
CTRA,4371090855.0,18535695255.0,23.582017263802925
PGAS,5709842691.0,24241508196.0,23.553991133035854
EXCL,4275563023.0,18199862451.0,23.492282068126713
VIVA,3857569227.0,16464270400.0,23.42994334568266
BHAT,1170533825.0,5000000000.0,23.4106765
AKRA,4692751892.0,20073474600.0,23.377875457595167
APII,250755500.0,1075760000.0,23.30961366847624
BBNI,8627492611.0,37297312916.0,23.131673400790575
MAPA,6572212205.0,28504000000.0,23.05715760945832
BAYU,81183422.0,353220780.0,22.983761600888826
MAIN,513484246.0,2238750000.0,22.93620305974316
INVS,2262209745.0,9990273135.0,22.644123082827004
HEAL,3440436821.0,15365950000.0,22.390004008863755
LPKR,15672166839.0,70898018369.0,22.105225504938257
